Courses
Course Name,Course ID,Supervisor,Lecture Hall,Day,Time
Math,MTH2245,Samah El-tantawy,3201,Sunday,8:30
circuits,ELC23,Ahmed Etman,3201,Sunday,12:15
Data Sturctures,CMP1,Ahmed Hesham,3201,Sunday,10:15

Professors
Professor Name,Title,ID,Email,Mobile
Samah El-tantawy,Professor,P1,SamahEltantawy@3lmni.com,01239283651
Ahmed Hesham,Professor,P2,ahmedhesham123@3lmni.com,01130163631
Ahmed Etman,Professor,P3,ahmedbatman22@3lmni.com,01055683652
Muhammed Mostafa,TA,P4,mohtefa233@3lmni.com,01239284622

Students
Student Name,Grade,ID,Email,Mobile
Youssef Ashraf,2,S1,yoyobunt@proton.me,01007424945
Osama Mohamed,2,S2,Osama11@proton.me,01007429822
Hazem Raafat,3,S3,Hazemlol1@proton.me,01003924933
Ali Badran,4,S4,bedro69@proton.me,01124567933

